"Name","Count","ContUpdate","MaxDeltaMin","Verdict"
"ScanOverviewImage_Recipes-1.txt","1","0","-631973","Write-once"
"ScanOverviewImage_Recipes-AllMags.txt","1","0","-588264","Write-once"
"ScanOverviewImage_Recipes-Default.txt","2","0","-1062709","Write-once"
"ScanOverviewImage_Recipes-R1.txt","6","0","-17323","Write-once"
"ScanOverviewImage_Recipes-x10.txt","1","0","-77531","Write-once"
"ScanOverviewImage_Recipes-X2.5.txt","1","0","-15572","Write-once"
"ScanOverviewImage_Recipes-x5.txt","1","0","-77550","Write-once"
"ScenarioMetadataGrab.xml","20","0","-77513","Write-once"
"ScenariosMetadatas.ini","41","1","6869","Mixed"
"Scripts.ini","6","0","-2858209","Write-once"
"SetupSummary.xml","5","0","-631949","Write-once"
"Sites.xml","3","0","-631954","Write-once"
"SitesInWafer.xml","3","0","-662249","Write-once"
"Solder.ini","1","0","-588249","Write-once"
"status.ini","1","1","181675","Continuously updated"
"TilePoolData.xml","1","0","-5688099","Write-once"
"TNESetup.ini","1","0","-630533","Write-once"
"TransactionsHistory.ini","41","0","-15572","Write-once"
"Transitions.xml","1","0","-611967","Write-once"
"UniqueArea.ini","42","0","-15577","Write-once"
"UniqueResultTypeIds.ini","1","0","-392620","Write-once"
"VcamInstallerGuid.txt","18","0","-588124","Write-once"
"Wafer2Table_LastKnown.ini","18","0","-4602257","Write-once"
"Wafer2Table.ini","49","2","83419","Mixed"
"WaferDataReadSettings.xml","42","0","0","Write-once"
"Waferinfo.ini","42","4","33254","Mixed"
"WaferManualAlign_PatFindRtp.txt","6","0","-1169390","Write-once"
"WaferManualAlign_PatRes.txt","6","0","-1169390","Write-once"
"WaferManualAlign_Stat.txt","6","0","-1169390","Write-once"
"WaferMapRecipe.ini","44","2","16144","Mixed"
"WaferToRefWafer.ini","13","0","-17302","Write-once"
"WLUP_Align_PatFindRtp.txt","1","0","-499675","Write-once"
"WLUP_Align_PatRes.txt","1","0","-499675","Write-once"
"WLUP_Align_Stat.txt","1","0","-499675","Write-once"
"WLUP.txt","3","0","-499675","Write-once"
"zones.ini","159","0","-15571","Write-once"
"zones.txt","153","0","-15571","Write-once"
"zonesInCad.txt","58","0","-48659","Write-once"
"ZonesVectorInfo.csv","21","0","-588251","Write-once"
"ZoneVerifyOptics.ini","18","0","-1169358","Write-once"
"ZoomLevels.ini","360","0","-15574","Write-once"
