"FullPath","Ext","SizeBytes","LastModified","Created","First120","DeltaMin"
"C:\job\ValidationJob\300mm\Recipes\AllMags\TrainData\DieImage\DieImageToTable.ini",".ini","250","2025-03-18 09:37","2026-04-30 22:09","[DieImageToTable] I2T_X=3.40660596991962 0.00955893050504556 -1704.8767157549 I2T_Y=-0.00955893050504556 3.4066059699196","-588271"
"C:\job\ValidationJob\300mm\Recipes\AllMags\TrainData\DieImage\ZoomLevels.ini",".ini","79","2025-03-18 09:37","2026-04-30 22:09","[ZOOM_LEVELS] LEVEL_1=1 SaveCompressed=0 [LEVEL_1] SizeX=5905 SizeY=6964 ","-588271"
"C:\job\ValidationJob\300mm\Recipes\AllMags\TrainData\ReferenceBackup\ZoomLevels.ini",".ini","79","2025-03-18 09:37","2026-04-30 22:09","[ZOOM_LEVELS] LEVEL_1=1 SaveCompressed=0 [LEVEL_1] SizeX=5905 SizeY=6964 ","-588271"
"C:\job\ValidationJob\300mm\Recipes\AllMags\WaferAlignData\Alignment_PatFindRtp.txt",".txt","742","2026-05-12 11:24","2026-05-12 11:24"," [11:24:16 05/12/26] Minimum Score           :  85    Minimum Start        :  90    Reduce Delta         :  10 Minimum T","0"
"C:\job\ValidationJob\300mm\Recipes\AllMags\WaferAlignData\Alignment_PatRes.txt",".txt","1429","2026-05-12 11:24","2026-05-12 11:24"," [11:24:15 05/12/26] ==========================================================================================  #    Co","0"
"C:\job\ValidationJob\300mm\Recipes\AllMags\WaferAlignData\Alignment_Stat.txt",".txt","1410","2026-05-12 11:24","2026-05-12 11:24","  [11:24:15 05/12/26] ==================================================================================================","0"
"C:\job\ValidationJob\300mm\Recipes\AllMags\WaferAlignData\AlignmentData.ini",".ini","31","2026-05-12 11:24","2026-05-12 11:24","[General] AlignmentTime=6330 ","0"
"C:\job\ValidationJob\300mm\Recipes\AllMags\WaferAlignData\AlignmentStatisticsTime.txt",".txt","166","2026-05-12 11:24","2026-05-12 11:24","Alignment Statistics Grabbing Counter=8 Total=2313 Average=289.125000 Moving Counter=8 Total=1204 Average=150.500000 Mov","0"
"C:\job\ValidationJob\300mm\Recipes\AllMags\Zones\Pad.ini",".ini","5683","2026-05-03 14:01","2026-04-30 22:09","[General] ZoneName=Pad ZoneID=2 TypeName=Surface AutoTH=0 AutoProbe=0 [Surface] Enable=1 AlgorithmName=Surface Classify=","3833"
"C:\job\ValidationJob\300mm\Recipes\AllMags\Zones\PostProcess.ini",".ini","2190","2025-03-18 10:00","2026-04-30 22:09","[General] ZoneName=PostProcess ZoneID=255 TypeName=PostProcess AutoTH=0 AutoProbe=0 [Warp Direction Calculation] Enable=","-588249"
